movie_name,director,actor,rating
Batman Begins,Christopher Nolan ," Christian Bale, Michael Caine",8.2
Dangal,Nitesh Tiwari ," Aamir Khan, Sakshi Tanwar",8.2
The Kid,Charles Chaplin ," Charles Chaplin, Edna Purviance",8.2
Some Like It Hot,Billy Wilder ," Marilyn Monroe, Tony Curtis",8.2
The Father,Florian Zeller ," Anthony Hopkins, Olivia Colman",8.2
All About Eve,Joseph L. Mankiewicz ," Bette Davis, Anne Baxter",8.2
Green Book,Peter Farrelly ," Viggo Mortensen, Mahershala Ali",8.2
The Wolf of Wall Street,Martin Scorsese ," Leonardo DiCaprio, Jonah Hill",8.2
Judgment at Nuremberg,Stanley Kramer ," Spencer Tracy, Burt Lancaster",8.2
Ran,Akira Kurosawa ," Tatsuya Nakadai, Akira Terao",8.2
Casino,Martin Scorsese ," Robert De Niro, Sharon Stone",8.2
Pan's Labyrinth,Guillermo del Toro ," Ivana Baquero, Ariadna Gil",8.2
Unforgiven,Clint Eastwood ," Clint Eastwood, Gene Hackman",8.2
There Will Be Blood,Paul Thomas Anderson ," Daniel Day-Lewis, Paul Dano",8.2
The Truman Show,Peter Weir ," Jim Carrey, Ed Harris",8.2
Spider-Man: No Way Home,Jon Watts ," Tom Holland, Zendaya",8.2
The Sixth Sense,M. Night Shyamalan ," Bruce Willis, Haley Joel Osment",8.2
A Beautiful Mind,Ron Howard ," Russell Crowe, Ed Harris",8.2
Yojimbo,Akira Kurosawa ," Toshirô Mifune, Eijirô Tôno",8.1
Monty Python and the Holy Grail,Terry Gilliam ," Graham Chapman, John Cleese",8.1
The Treasure of the Sierra Madre,John Huston ," Humphrey Bogart, Walter Huston",8.1
Shutter Island,Martin Scorsese ," Leonardo DiCaprio, Emily Mortimer",8.1
Jurassic Park,Steven Spielberg ," Sam Neill, Laura Dern",8.1
Rashomon,Akira Kurosawa ," Toshirô Mifune, Machiko Kyô",8.1
The Great Escape,John Sturges ," Steve McQueen, James Garner",8.1
Kill Bill: Vol. 1,Quentin Tarantino ," Uma Thurman, David Carradine",8.1
No Country for Old Men,Ethan Coen ," Tommy Lee Jones, Javier Bardem",8.1
Finding Nemo,Andrew Stanton ," Albert Brooks, Ellen DeGeneres",8.1
The Elephant Man,David Lynch ," Anthony Hopkins, John Hurt",8.1
The Thing,John Carpenter ," Kurt Russell, Wilford Brimley",8.1
Chinatown,Roman Polanski ," Jack Nicholson, Faye Dunaway",8.1
Raging Bull,Martin Scorsese ," Robert De Niro, Cathy Moriarty",8.1
Gone with the Wind,Victor Fleming ," Clark Gable, Vivien Leigh",8.1
V for Vendetta,James McTeigue ," Hugo Weaving, Natalie Portman",8.1
Inside Out,Pete Docter ," Amy Poehler, Bill Hader",8.1
"Lock, Stock and Two Smoking Barrels",Guy Ritchie ," Jason Flemyng, Dexter Fletcher",8.1
Dial M for Murder,Alfred Hitchcock ," Ray Milland, Grace Kelly",8.1
The Secret in Their Eyes,Juan José Campanella ," Ricardo Darín, Soledad Villamil",8.1
Howl's Moving Castle,Hayao Miyazaki ," Chieko Baishô, Takuya Kimura",8.1
The Bridge on the River Kwai,David Lean ," William Holden, Alec Guinness",8.1
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh ," Frances McDormand, Woody Harrelson",8.1
Trainspotting,Danny Boyle ," Ewan McGregor, Ewen Bremner",8.1
Warrior,Gavin O'Connor ," Tom Hardy, Nick Nolte",8.1
Gran Torino,Clint Eastwood ," Clint Eastwood, Bee Vang",8.1
Fargo,Joel Coen ," William H. Macy, Frances McDormand",8.1
Prisoners,Denis Villeneuve ," Hugh Jackman, Jake Gyllenhaal",8.1
My Neighbor Totoro,Hayao Miyazaki ," Hitoshi Takagi, Noriko Hidaka",8.1
Million Dollar Baby,Clint Eastwood ," Hilary Swank, Clint Eastwood",8.1
Catch Me If You Can,Steven Spielberg ," Leonardo DiCaprio, Tom Hanks",8.1
The Gold Rush,Charles Chaplin ," Charles Chaplin, Mack Swain",8.1
Children of Heaven,Majid Majidi ," Mohammad Amir Naji, Amir Farrokh Hashemian",8.1
Blade Runner,Ridley Scott ," Harrison Ford, Rutger Hauer",8.1
On the Waterfront,Elia Kazan ," Marlon Brando, Karl Malden",8.1
12 Years a Slave,Steve McQueen ," Chiwetel Ejiofor, Michael Kenneth Williams",8.1
Before Sunrise,Richard Linklater ," Ethan Hawke, Julie Delpy",8.1
The Third Man,Carol Reed ," Orson Welles, Joseph Cotten",8.1
Wild Strawberries,Ingmar Bergman ," Victor Sjöström, Bibi Andersson",8.1
Harry Potter and the Deathly Hallows: Part 2,David Yates ," Daniel Radcliffe, Emma Watson",8.1
Ben-Hur,William Wyler ," Charlton Heston, Jack Hawkins",8.1
Gone Girl,David Fincher ," Ben Affleck, Rosamund Pike",8.1
The General,Clyde Bruckman ," Buster Keaton, Marion Mack",8.1
The Deer Hunter,Michael Cimino ," Robert De Niro, Christopher Walken",8.1
The Grand Budapest Hotel,Wes Anderson ," Ralph Fiennes, F. Murray Abraham",8.1
In the Name of the Father,Jim Sheridan ," Daniel Day-Lewis, Pete Postlethwaite",8.1
Barry Lyndon,Stanley Kubrick ," Ryan O'Neal, Marisa Berenson",8.1
The Wages of Fear,Henri-Georges Clouzot ," Yves Montand, Charles Vanel",8.1
Mr. Smith Goes to Washington,Frank Capra ," James Stewart, Jean Arthur",8.1
Sherlock Jr.,Buster Keaton ," Buster Keaton, Kathryn McGuire",8.1
Hacksaw Ridge,Mel Gibson ," Andrew Garfield, Sam Worthington",8.1
Klaus,Sergio Pablos ," Jason Schwartzman, J.K. Simmons",8.1
Memories of Murder,Bong Joon Ho ," Song Kang-ho, Kim Sang-kyung",8.1
Wild Tales,Damián Szifron ," Darío Grandinetti, María Marull",8.1
The Seventh Seal,Ingmar Bergman ," Max von Sydow, Gunnar Björnstrand",8.1
Room,Lenny Abrahamson ," Brie Larson, Jacob Tremblay",8.1
Mad Max: Fury Road,George Miller ," Tom Hardy, Charlize Theron",8.1
Mary and Max,Adam Elliot ," Toni Collette, Philip Seymour Hoffman",8.1
How to Train Your Dragon,Dean DeBlois ," Jay Baruchel, Gerard Butler",8.1
The Big Lebowski,Joel Coen ," Jeff Bridges, John Goodman",8.1
"Monsters, Inc.",Pete Docter ," Billy Crystal, John Goodman",8.1
Jaws,Steven Spielberg ," Roy Scheider, Robert Shaw",8.1
Tokyo Story,Yasujirô Ozu ," Chishû Ryû, Chieko Higashiyama",8.1
The Passion of Joan of Arc,Carl Theodor Dreyer ," Maria Falconetti, Eugene Silvain",8.1
Dead Poets Society,Peter Weir ," Robin Williams, Robert Sean Leonard",8.1
Hotel Rwanda,Terry George ," Don Cheadle, Sophie Okonedo",8.1
Ford v Ferrari,James Mangold ," Matt Damon, Christian Bale",8.0
Rocky,John G. Avildsen ," Sylvester Stallone, Talia Shire",8.0
Platoon,Oliver Stone ," Charlie Sheen, Tom Berenger",8.0
Pather Panchali,Satyajit Ray ," Kanu Bannerjee, Karuna Bannerjee",8.0
Stand by Me,Rob Reiner ," Wil Wheaton, River Phoenix",8.0
The Terminator,James Cameron ," Arnold Schwarzenegger, Linda Hamilton",8.0
Spotlight,Tom McCarthy ," Mark Ruffalo, Michael Keaton",8.0
Logan,James Mangold ," Hugh Jackman, Patrick Stewart",8.0
Rush,Ron Howard ," Daniel Brühl, Chris Hemsworth",8.0
Everything Everywhere All at Once,Dan Kwan ," Michelle Yeoh, Stephanie Hsu",8.0
Ratatouille,Brad Bird ," Brad Garrett, Lou Romano",8.0
Network,Sidney Lumet ," Faye Dunaway, William Holden",8.0
Into the Wild,Sean Penn ," Emile Hirsch, Vince Vaughn",8.0
The Wizard of Oz,Victor Fleming ," Judy Garland, Frank Morgan",8.0
Before Sunset,Richard Linklater ," Ethan Hawke, Julie Delpy",8.0
Groundhog Day,Harold Ramis ," Bill Murray, Andie MacDowell",8.0
The Exorcist,William Friedkin ," Ellen Burstyn, Max von Sydow",8.0
Jai Bhim,T.J. Gnanavel ," Suriya, Lijo Mol Jose",8.0
To Be or Not to Be,Ernst Lubitsch ," Carole Lombard, Jack Benny",8.0
The Best Years of Our Lives,William Wyler ," Myrna Loy, Dana Andrews",8.0
The Incredibles,Brad Bird ," Craig T. Nelson, Samuel L. Jackson",8.0
The Battle of Algiers,Gillo Pontecorvo ," Brahim Hadjadj, Jean Martin",8.0
Hachi: A Dog's Tale,Lasse Hallström ," Richard Gere, Joan Allen",8.0
The Grapes of Wrath,John Ford ," Henry Fonda, Jane Darwell",8.0
Rebecca,Alfred Hitchcock ," Laurence Olivier, Joan Fontaine",8.0
My Father and My Son,Çagan Irmak ," Çetin Tekindor, Fikret Kuskan",8.0
Amores perros,Alejandro G. Iñárritu ," Emilio Echevarría, Gael García Bernal",8.0
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski ," Johnny Depp, Geoffrey Rush",8.0
La Haine,Mathieu Kassovitz ," Vincent Cassel, Hubert Koundé",8.0
Cool Hand Luke,Stuart Rosenberg ," Paul Newman, George Kennedy",8.0
The 400 Blows,François Truffaut ," Jean-Pierre Léaud, Albert Rémy",8.0
Persona,Ingmar Bergman ," Bibi Andersson, Liv Ullmann",8.0
The Handmaiden,Park Chan-wook ," Kim Min-hee, Ha Jung-woo",8.0
It Happened One Night,Frank Capra ," Clark Gable, Claudette Colbert",8.0
The Sound of Music,Robert Wise ," Julie Andrews, Christopher Plummer",8.0
Life of Brian,Terry Jones ," Graham Chapman, John Cleese",8.0
Dersu Uzala,Akira Kurosawa ," Maksim Munzuk, Yuriy Solomin",8.0
Gandhi,Richard Attenborough ," Ben Kingsley, John Gielgud",8.0
The Help,Tate Taylor ," Viola Davis, Emma Stone",8.0
Aladdin,Ron Clements ," Scott Weinger, Robin Williams",8.0
The Iron Giant,Brad Bird ," Eli Marienthal, Harry Connick Jr.",8.0
